Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P3,A1,P2,A1,35.27777817168533
P3,A1,P2,B1,35.27777817168533
P3,A1,P2,C1,35.27777817168533
P3,A1,P2,D1,35.27777817168533
P3,A1,P2,E1,35.27777817168533
P3,A1,P2,F1,35.27777817168533
P3,A1,P2,G1,35.27777817168533
P3,A1,P2,H1,35.27777817168533
P3,A1,P2,A2,35.27777817168533
P3,A1,P2,B2,35.27777817168533
P3,A1,P2,C2,35.27777817168533
P3,A1,P2,D2,35.27777817168533
P3,A1,P2,E2,35.27777817168533
P3,A1,P2,F2,35.27777817168533
P3,A1,P2,G2,35.27777817168533
P3,A1,P2,H2,35.27777817168533
P3,A1,P2,A3,35.27777817168533
P3,A1,P2,B3,35.27777817168533
P3,A1,P2,C3,35.27777817168533
P3,A1,P2,D3,35.27777817168533
P3,A1,P2,E3,35.27777817168533
P3,A1,P2,F3,35.27777817168533
P3,A1,P2,G3,35.27777817168533
P3,A1,P2,H3,35.27777817168533
P3,A1,P2,A4,35.27777817168533
P3,A1,P2,B4,35.27777817168533
P3,A1,P2,C4,35.27777817168533
P3,A1,P2,D4,35.27777817168533
P3,A1,P2,E4,35.27777817168533
P3,A1,P2,F4,35.27777817168533
P3,A1,P2,G4,35.27777817168533
P3,A1,P2,H4,35.27777817168533
P3,A1,P2,A5,35.27777817168533
P3,A1,P2,B5,35.27777817168533
P3,A1,P2,C5,35.27777817168533
P3,A1,P2,D5,35.27777817168533
P3,A1,P2,E5,35.27777817168533
P3,A1,P2,F5,35.27777817168533
P3,A1,P2,G5,35.27777817168533
P3,A1,P2,H5,35.27777817168533
P3,A1,P2,A6,35.27777817168533
P3,A1,P2,B6,35.27777817168533
P3,A1,P2,C6,35.27777817168533
P3,A1,P2,D6,35.27777817168533
P3,A1,P2,E6,35.27777817168533
P3,A1,P2,F6,35.27777817168533
P3,A1,P2,G6,35.27777817168533
P3,A1,P2,H6,35.27777817168533
