Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,A1,P2,A1,10.000000000000028
P1,A1,P2,B1,10.000000000000028
P1,A1,P2,C1,10.000000000000028
P1,A1,P2,D1,10.000000000000028
P1,A1,P2,E1,10.000000000000028
P1,A1,P2,F1,10.000000000000028
P1,A1,P2,G1,10.000000000000028
P1,A1,P2,H1,10.000000000000028
P1,A1,P2,A2,10.000000000000028
P1,A1,P2,B2,10.000000000000028
P1,A1,P2,C2,10.000000000000028
P1,A1,P2,D2,10.000000000000028
P1,A1,P2,E2,10.000000000000028
P1,A1,P2,F2,10.000000000000028
P1,A1,P2,G2,10.000000000000028
P1,A1,P2,H2,10.000000000000028
P1,A1,P2,A3,10.000000000000028
P1,A1,P2,B3,10.000000000000028
P1,A1,P2,C3,10.000000000000028
P1,A1,P2,D3,10.000000000000028
P1,A1,P2,E3,10.000000000000028
P1,A1,P2,F3,10.000000000000028
P1,A1,P2,G3,10.000000000000028
P1,A1,P2,H3,10.000000000000028
P1,A1,P2,A4,10.000000000000028
P1,A1,P2,B4,10.000000000000028
P1,A1,P2,C4,10.000000000000028
P1,A1,P2,D4,10.000000000000028
P1,A1,P2,E4,10.000000000000028
P1,A1,P2,F4,10.000000000000028
P1,A1,P2,G4,10.000000000000028
P1,A1,P2,H4,10.000000000000028
P1,A1,P2,A5,10.000000000000028
P1,A1,P2,B5,10.000000000000028
P1,A1,P2,C5,10.000000000000028
P1,A1,P2,D5,10.000000000000028
P1,A1,P2,E5,10.000000000000028
P1,A1,P2,F5,10.000000000000028
P1,A1,P2,G5,10.000000000000028
P1,A1,P2,H5,10.000000000000028
P1,A1,P2,A6,10.000000000000028
P1,A1,P2,B6,10.000000000000028
P1,A1,P2,C6,10.000000000000028
P1,A1,P2,D6,10.000000000000028
P1,A1,P2,E6,10.000000000000028
P1,A1,P2,F6,10.000000000000028
P1,A1,P2,G6,10.000000000000028
P1,A1,P2,H6,10.000000000000028
P1,B1,P2,A1,5.0
P1,B1,P2,B1,5.0
P1,B1,P2,C1,5.0
P1,B1,P2,D1,5.0
P1,B1,P2,E1,5.0
P1,B1,P2,F1,5.0
P1,B1,P2,G1,5.0
P1,B1,P2,H1,5.0
P1,B1,P2,A2,5.0
P1,B1,P2,B2,5.0
P1,B1,P2,C2,5.0
P1,B1,P2,D2,5.0
P1,B1,P2,E2,5.0
P1,B1,P2,F2,5.0
P1,B1,P2,G2,5.0
P1,B1,P2,H2,5.0
P1,B1,P2,A3,5.0
P1,B1,P2,B3,5.0
P1,B1,P2,C3,5.0
P1,B1,P2,D3,5.0
P1,B1,P2,E3,5.0
P1,B1,P2,F3,5.0
P1,B1,P2,G3,5.0
P1,B1,P2,H3,5.0
P1,B1,P2,A4,5.0
P1,B1,P2,B4,5.0
P1,B1,P2,C4,5.0
P1,B1,P2,D4,5.0
P1,B1,P2,E4,5.0
P1,B1,P2,F4,5.0
P1,B1,P2,G4,5.0
P1,B1,P2,H4,5.0
P1,B1,P2,A5,5.0
P1,B1,P2,B5,5.0
P1,B1,P2,C5,5.0
P1,B1,P2,D5,5.0
P1,B1,P2,E5,5.0
P1,B1,P2,F5,5.0
P1,B1,P2,G5,5.0
P1,B1,P2,H5,5.0
P1,B1,P2,A6,5.0
P1,B1,P2,B6,5.0
P1,B1,P2,C6,5.0
P1,B1,P2,D6,5.0
P1,B1,P2,E6,5.0
P1,B1,P2,F6,5.0
P1,B1,P2,G6,5.0
P1,B1,P2,H6,5.0
P1,C1,P2,A1,5.0
P1,C1,P2,B1,5.0
P1,C1,P2,C1,5.0
P1,C1,P2,D1,5.0
P1,C1,P2,E1,5.0
P1,C1,P2,F1,5.0
P1,C1,P2,G1,5.0
P1,C1,P2,H1,5.0
P1,C1,P2,A2,5.0
P1,C1,P2,B2,5.0
P1,C1,P2,C2,5.0
P1,C1,P2,D2,5.0
P1,C1,P2,E2,5.0
P1,C1,P2,F2,5.0
P1,C1,P2,G2,5.0
P1,C1,P2,H2,5.0
P1,C1,P2,A3,5.0
P1,C1,P2,B3,5.0
P1,C1,P2,C3,5.0
P1,C1,P2,D3,5.0
P1,C1,P2,E3,5.0
P1,C1,P2,F3,5.0
P1,C1,P2,G3,5.0
P1,C1,P2,H3,5.0
P1,C1,P2,A4,5.0
P1,C1,P2,B4,5.0
P1,C1,P2,C4,5.0
P1,C1,P2,D4,5.0
P1,C1,P2,E4,5.0
P1,C1,P2,F4,5.0
P1,C1,P2,G4,5.0
P1,C1,P2,H4,5.0
P1,C1,P2,A5,5.0
P1,C1,P2,B5,5.0
P1,C1,P2,C5,5.0
P1,C1,P2,D5,5.0
P1,C1,P2,E5,5.0
P1,C1,P2,F5,5.0
P1,C1,P2,G5,5.0
P1,C1,P2,H5,5.0
P1,C1,P2,A6,5.0
P1,C1,P2,B6,5.0
P1,C1,P2,C6,5.0
P1,C1,P2,D6,5.0
P1,C1,P2,E6,5.0
P1,C1,P2,F6,5.0
P1,C1,P2,G6,5.0
P1,C1,P2,H6,5.0
P1,D1,P2,A1,5.0
P1,D1,P2,B1,5.0
P1,D1,P2,C1,5.0
P1,D1,P2,D1,5.0
P1,D1,P2,E1,5.0
P1,D1,P2,F1,5.0
P1,D1,P2,G1,5.0
P1,D1,P2,H1,5.0
P1,D1,P2,A2,5.0
P1,D1,P2,B2,5.0
P1,D1,P2,C2,5.0
P1,D1,P2,D2,5.0
P1,D1,P2,E2,5.0
P1,D1,P2,F2,5.0
P1,D1,P2,G2,5.0
P1,D1,P2,H2,5.0
P1,D1,P2,A3,5.0
P1,D1,P2,B3,5.0
P1,D1,P2,C3,5.0
P1,D1,P2,D3,5.0
P1,D1,P2,E3,5.0
P1,D1,P2,F3,5.0
P1,D1,P2,G3,5.0
P1,D1,P2,H3,5.0
P1,D1,P2,A4,5.0
P1,D1,P2,B4,5.0
P1,D1,P2,C4,5.0
P1,D1,P2,D4,5.0
P1,D1,P2,E4,5.0
P1,D1,P2,F4,5.0
P1,D1,P2,G4,5.0
P1,D1,P2,H4,5.0
P1,D1,P2,A5,5.0
P1,D1,P2,B5,5.0
P1,D1,P2,C5,5.0
P1,D1,P2,D5,5.0
P1,D1,P2,E5,5.0
P1,D1,P2,F5,5.0
P1,D1,P2,G5,5.0
P1,D1,P2,H5,5.0
P1,D1,P2,A6,5.0
P1,D1,P2,B6,5.0
P1,D1,P2,C6,5.0
P1,D1,P2,D6,5.0
P1,D1,P2,E6,5.0
P1,D1,P2,F6,5.0
P1,D1,P2,G6,5.0
P1,D1,P2,H6,5.0
P1,A2,P2,A1,7.499999606092458
P1,A2,P2,B1,7.499999606092458
P1,A2,P2,C1,7.499999606092458
P1,A2,P2,D1,7.499999606092458
P1,A2,P2,E1,7.499999606092458
P1,A2,P2,F1,7.499999606092458
P1,A2,P2,G1,7.499999606092458
P1,A2,P2,H1,7.499999606092458
P1,A2,P2,A2,7.499999606092458
P1,A2,P2,B2,7.499999606092458
P1,A2,P2,C2,7.499999606092458
P1,A2,P2,D2,7.499999606092458
P1,A2,P2,E2,7.499999606092458
P1,A2,P2,F2,7.499999606092458
P1,A2,P2,G2,7.499999606092458
P1,A2,P2,H2,7.499999606092458
P1,A2,P2,A3,7.499999606092458
P1,A2,P2,B3,7.499999606092458
P1,A2,P2,C3,7.499999606092458
P1,A2,P2,D3,7.499999606092458
P1,A2,P2,E3,7.499999606092458
P1,A2,P2,F3,7.499999606092458
P1,A2,P2,G3,7.499999606092458
P1,A2,P2,H3,7.499999606092458
P1,A2,P2,A4,7.499999606092458
P1,A2,P2,B4,7.499999606092458
P1,A2,P2,C4,7.499999606092458
P1,A2,P2,D4,7.499999606092458
P1,A2,P2,E4,7.499999606092458
P1,A2,P2,F4,7.499999606092458
P1,A2,P2,G4,7.499999606092458
P1,A2,P2,H4,7.499999606092458
P1,A2,P2,A5,7.499999606092458
P1,A2,P2,B5,7.499999606092458
P1,A2,P2,C5,7.499999606092458
P1,A2,P2,D5,7.499999606092458
P1,A2,P2,E5,7.499999606092458
P1,A2,P2,F5,7.499999606092458
P1,A2,P2,G5,7.499999606092458
P1,A2,P2,H5,7.499999606092458
P1,A2,P2,A6,7.499999606092458
P1,A2,P2,B6,7.499999606092458
P1,A2,P2,C6,7.499999606092458
P1,A2,P2,D6,7.499999606092458
P1,A2,P2,E6,7.499999606092458
P1,A2,P2,F6,7.499999606092458
P1,A2,P2,G6,7.499999606092458
P1,A2,P2,H6,7.499999606092458
P1,B2,P2,A1,5.555555555555555
P1,B2,P2,B1,5.555555555555555
P1,B2,P2,C1,5.555555555555555
P1,B2,P2,D1,5.555555555555555
P1,B2,P2,E1,5.555555555555555
P1,B2,P2,F1,5.555555555555555
P1,B2,P2,G1,5.555555555555555
P1,B2,P2,H1,5.555555555555555
P1,B2,P2,A2,5.555555555555555
P1,B2,P2,B2,5.555555555555555
P1,B2,P2,C2,5.555555555555555
P1,B2,P2,D2,5.555555555555555
P1,B2,P2,E2,5.555555555555555
P1,B2,P2,F2,5.555555555555555
P1,B2,P2,G2,5.555555555555555
P1,B2,P2,H2,5.555555555555555
P1,B2,P2,A3,5.555555555555555
P1,B2,P2,B3,5.555555555555555
P1,B2,P2,C3,5.555555555555555
P1,B2,P2,D3,5.555555555555555
P1,B2,P2,E3,5.555555555555555
P1,B2,P2,F3,5.555555555555555
P1,B2,P2,G3,5.555555555555555
P1,B2,P2,H3,5.555555555555555
P1,B2,P2,A4,5.555555555555555
P1,B2,P2,B4,5.555555555555555
P1,B2,P2,C4,5.555555555555555
P1,B2,P2,D4,5.555555555555555
P1,B2,P2,E4,5.555555555555555
P1,B2,P2,F4,5.555555555555555
P1,B2,P2,G4,5.555555555555555
P1,B2,P2,H4,5.555555555555555
P1,B2,P2,A5,5.555555555555555
P1,B2,P2,B5,5.555555555555555
P1,B2,P2,C5,5.555555555555555
P1,B2,P2,D5,5.555555555555555
P1,B2,P2,E5,5.555555555555555
P1,B2,P2,F5,5.555555555555555
P1,B2,P2,G5,5.555555555555555
P1,B2,P2,H5,5.555555555555555
P1,B2,P2,A6,5.555555555555555
P1,B2,P2,B6,5.555555555555555
P1,B2,P2,C6,5.555555555555555
P1,B2,P2,D6,5.555555555555555
P1,B2,P2,E6,5.555555555555555
P1,B2,P2,F6,5.555555555555555
P1,B2,P2,G6,5.555555555555555
P1,B2,P2,H6,5.555555555555555
P1,C2,P2,A1,16.666666666666668
P1,C2,P2,B1,16.666666666666668
P1,C2,P2,C1,16.666666666666668
P1,C2,P2,D1,16.666666666666668
P1,C2,P2,E1,16.666666666666668
P1,C2,P2,F1,16.666666666666668
P1,C2,P2,G1,16.666666666666668
P1,C2,P2,H1,16.666666666666668
P1,C2,P2,A2,16.666666666666668
P1,C2,P2,B2,16.666666666666668
P1,C2,P2,C2,16.666666666666668
P1,C2,P2,D2,16.666666666666668
P1,C2,P2,E2,16.666666666666668
P1,C2,P2,F2,16.666666666666668
P1,C2,P2,G2,16.666666666666668
P1,C2,P2,H2,16.666666666666668
P1,C2,P2,A3,16.666666666666668
P1,C2,P2,B3,16.666666666666668
P1,C2,P2,C3,16.666666666666668
P1,C2,P2,D3,16.666666666666668
P1,C2,P2,E3,16.666666666666668
P1,C2,P2,F3,16.666666666666668
P1,C2,P2,G3,16.666666666666668
P1,C2,P2,H3,16.666666666666668
P1,C2,P2,A4,16.666666666666668
P1,C2,P2,B4,16.666666666666668
P1,C2,P2,C4,16.666666666666668
P1,C2,P2,D4,16.666666666666668
P1,C2,P2,E4,16.666666666666668
P1,C2,P2,F4,16.666666666666668
P1,C2,P2,G4,16.666666666666668
P1,C2,P2,H4,16.666666666666668
P1,C2,P2,A5,16.666666666666668
P1,C2,P2,B5,16.666666666666668
P1,C2,P2,C5,16.666666666666668
P1,C2,P2,D5,16.666666666666668
P1,C2,P2,E5,16.666666666666668
P1,C2,P2,F5,16.666666666666668
P1,C2,P2,G5,16.666666666666668
P1,C2,P2,H5,16.666666666666668
P1,C2,P2,A6,16.666666666666668
P1,C2,P2,B6,16.666666666666668
P1,C2,P2,C6,16.666666666666668
P1,C2,P2,D6,16.666666666666668
P1,C2,P2,E6,16.666666666666668
P1,C2,P2,F6,16.666666666666668
P1,C2,P2,G6,16.666666666666668
P1,C2,P2,H6,16.666666666666668
