,MOPS,Tricine,H3BO3,Glucose,K2SO4,K2HPO4,FeSO4,NH4Cl,MgCl2,NaCl,(NH4)6Mo7O24,CoCl2,CuSO4,MnSO4,ZnSO4,Kan,Water,Culture
A1,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
B1,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
C1,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
D1,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
E1,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
F1,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
G1,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
H1,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
A2,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
B2,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
C2,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
D2,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
E2,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
F2,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
