Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P3,A1,P2,A1,7.500000393907612
P3,A1,P2,B1,7.500000393907612
P3,A1,P2,C1,7.500000393907612
P3,A1,P2,D1,7.500000393907612
P3,A1,P2,E1,7.500000393907612
P3,A1,P2,F1,7.500000393907612
P3,A1,P2,A2,7.500000393907612
P3,A1,P2,B2,7.500000393907612
P3,A1,P2,C2,7.500000393907612
P3,A1,P2,D2,7.500000393907612
P3,A1,P2,E2,7.500000393907612
P3,A1,P2,F2,7.500000393907612
P3,A1,P2,A3,7.500000393907612
P3,A1,P2,B3,7.500000393907612
P3,A1,P2,C3,7.500000393907612
P3,A1,P2,D3,7.500000393907612
P3,A1,P2,E3,7.500000393907612
P3,A1,P2,F3,7.500000393907612
P3,A1,P2,A4,7.500000393907612
P3,A1,P2,B4,7.500000393907612
P3,A1,P2,C4,7.500000393907612
P3,A1,P2,D4,7.500000393907612
P3,A1,P2,E4,7.500000393907612
P3,A1,P2,F4,7.500000393907612
