,MOPS,Tricine,H3BO3,Glucose,K2SO4,K2HPO4,FeSO4,NH4Cl,MgCl2,NaCl,(NH4)6Mo7O24,CoCl2,CuSO4,MnSO4,ZnSO4,Kan,Water,Culture
A1,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
B1,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
C1,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
D1,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
E1,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
F1,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
A2,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
B2,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
C2,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
D2,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
E2,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
F2,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
A3,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
B3,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
C3,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
D3,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
E3,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
F3,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
A4,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
B4,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
C4,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
D4,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
E4,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
F4,29.999999999999943,15.0,50.0,10.0,10.0,5.0,50.0,7.499999606092457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,952.5000003939076,15.0
