Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P3,A1,P2,A1,155.32569145757196
P3,A1,P2,A1,155.32569145757196
P3,A1,P2,A1,155.32569145757196
P3,A1,P2,A1,155.32569145757196
P3,A1,P2,A1,155.32569145757196
P3,A1,P2,B1,155.32569145757196
P3,A1,P2,B1,155.32569145757196
P3,A1,P2,B1,155.32569145757196
P3,A1,P2,B1,155.32569145757196
P3,A1,P2,B1,155.32569145757196
P3,A1,P2,C1,155.32569145757196
P3,A1,P2,C1,155.32569145757196
P3,A1,P2,C1,155.32569145757196
P3,A1,P2,C1,155.32569145757196
P3,A1,P2,C1,155.32569145757196
P3,A1,P2,D1,177.70439975193392
P3,A1,P2,D1,177.70439975193392
P3,A1,P2,D1,177.70439975193392
P3,A1,P2,E1,177.70439975193392
P3,A1,P2,E1,177.70439975193392
P3,A1,P2,E1,177.70439975193392
P3,A1,P2,F1,177.70439975193392
P3,A1,P2,F1,177.70439975193392
P3,A1,P2,F1,177.70439975193392
P3,A1,P2,A2,173.61338780537355
P3,A1,P2,A2,173.61338780537355
P3,A1,P2,A2,173.61338780537355
P3,A1,P2,B2,173.61338780537355
P3,A1,P2,B2,173.61338780537355
P3,A1,P2,B2,173.61338780537355
P3,A1,P2,C2,173.61338780537355
P3,A1,P2,C2,173.61338780537355
P3,A1,P2,C2,173.61338780537355
P3,A1,P2,D2,143.00283327215894
P3,A1,P2,D2,143.00283327215894
P3,A1,P2,E2,143.00283327215894
P3,A1,P2,E2,143.00283327215894
P3,A1,P2,F2,143.00283327215894
P3,A1,P2,F2,143.00283327215894
P3,A1,P2,A3,171.47546170854983
P3,A1,P2,A3,171.47546170854983
P3,A1,P2,A3,171.47546170854983
P3,A1,P2,B3,171.47546170854983
P3,A1,P2,B3,171.47546170854983
P3,A1,P2,B3,171.47546170854983
P3,A1,P2,C3,171.47546170854983
P3,A1,P2,C3,171.47546170854983
P3,A1,P2,C3,171.47546170854983
P3,A1,P2,D3,154.2779550677487
P3,A1,P2,D3,154.2779550677487
P3,A1,P2,D3,154.2779550677487
P3,A1,P2,E3,154.2779550677487
P3,A1,P2,E3,154.2779550677487
P3,A1,P2,E3,154.2779550677487
P3,A1,P2,F3,154.2779550677487
P3,A1,P2,F3,154.2779550677487
P3,A1,P2,F3,154.2779550677487
P3,A1,P2,A4,150.44814664427943
P3,A1,P2,A4,150.44814664427943
P3,A1,P2,A4,150.44814664427943
P3,A1,P2,B4,150.44814664427943
P3,A1,P2,B4,150.44814664427943
P3,A1,P2,B4,150.44814664427943
P3,A1,P2,C4,150.44814664427943
P3,A1,P2,C4,150.44814664427943
P3,A1,P2,C4,150.44814664427943
P3,A1,P2,D4,130.45045737615163
P3,A1,P2,D4,130.45045737615163
P3,A1,P2,D4,130.45045737615163
P3,A1,P2,E4,130.45045737615163
P3,A1,P2,E4,130.45045737615163
P3,A1,P2,E4,130.45045737615163
P3,A1,P2,F4,130.45045737615163
P3,A1,P2,F4,130.45045737615163
P3,A1,P2,F4,130.45045737615163
P3,A1,P2,A5,163.03027268341668
P3,A1,P2,A5,163.03027268341668
P3,A1,P2,A5,163.03027268341668
P3,A1,P2,B5,163.03027268341668
P3,A1,P2,B5,163.03027268341668
P3,A1,P2,B5,163.03027268341668
P3,A1,P2,C5,163.03027268341668
P3,A1,P2,C5,163.03027268341668
P3,A1,P2,C5,163.03027268341668
P3,A1,P2,D5,179.24423657900013
P3,A1,P2,D5,179.24423657900013
P3,A1,P2,D5,179.24423657900013
P3,A1,P2,D5,179.24423657900013
P3,A1,P2,E5,179.24423657900013
P3,A1,P2,E5,179.24423657900013
P3,A1,P2,E5,179.24423657900013
P3,A1,P2,E5,179.24423657900013
P3,A1,P2,F5,179.24423657900013
P3,A1,P2,F5,179.24423657900013
P3,A1,P2,F5,179.24423657900013
P3,A1,P2,F5,179.24423657900013
P3,A1,P2,A6,157.6867233383136
P3,A1,P2,A6,157.6867233383136
P3,A1,P2,A6,157.6867233383136
P3,A1,P2,A6,157.6867233383136
P3,A1,P2,B6,157.6867233383136
P3,A1,P2,B6,157.6867233383136
P3,A1,P2,B6,157.6867233383136
P3,A1,P2,B6,157.6867233383136
P3,A1,P2,C6,157.6867233383136
P3,A1,P2,C6,157.6867233383136
P3,A1,P2,C6,157.6867233383136
P3,A1,P2,C6,157.6867233383136
P3,A1,P2,D6,155.5520014998119
P3,A1,P2,D6,155.5520014998119
P3,A1,P2,D6,155.5520014998119
P3,A1,P2,E6,155.5520014998119
P3,A1,P2,E6,155.5520014998119
P3,A1,P2,E6,155.5520014998119
P3,A1,P2,F6,155.5520014998119
P3,A1,P2,F6,155.5520014998119
P3,A1,P2,F6,155.5520014998119
P3,A1,P2,A7,143.17314217537754
P3,A1,P2,A7,143.17314217537754
P3,A1,P2,A7,143.17314217537754
P3,A1,P2,B7,143.17314217537754
P3,A1,P2,B7,143.17314217537754
P3,A1,P2,B7,143.17314217537754
P3,A1,P2,C7,143.17314217537754
P3,A1,P2,C7,143.17314217537754
P3,A1,P2,C7,143.17314217537754
P3,A1,P2,D7,176.62647599323358
P3,A1,P2,D7,176.62647599323358
P3,A1,P2,D7,176.62647599323358
P3,A1,P2,D7,176.62647599323358
P3,A1,P2,E7,176.62647599323358
P3,A1,P2,E7,176.62647599323358
P3,A1,P2,E7,176.62647599323358
P3,A1,P2,E7,176.62647599323358
P3,A1,P2,F7,176.62647599323358
P3,A1,P2,F7,176.62647599323358
P3,A1,P2,F7,176.62647599323358
P3,A1,P2,F7,176.62647599323358
P3,A1,P2,A8,137.249881778459
P3,A1,P2,A8,137.249881778459
P3,A1,P2,A8,137.249881778459
P3,A1,P2,B8,137.249881778459
P3,A1,P2,B8,137.249881778459
P3,A1,P2,B8,137.249881778459
P3,A1,P2,C8,137.249881778459
P3,A1,P2,C8,137.249881778459
P3,A1,P2,C8,137.249881778459
P3,A1,P2,D8,188.23741969472277
P3,A1,P2,D8,188.23741969472277
P3,A1,P2,D8,188.23741969472277
P3,A1,P2,D8,188.23741969472277
P3,A1,P2,D8,188.23741969472277
P3,A1,P2,E8,188.23741969472277
P3,A1,P2,E8,188.23741969472277
P3,A1,P2,E8,188.23741969472277
P3,A1,P2,E8,188.23741969472277
P3,A1,P2,E8,188.23741969472277
P3,A1,P2,F8,188.23741969472277
P3,A1,P2,F8,188.23741969472277
P3,A1,P2,F8,188.23741969472277
P3,A1,P2,F8,188.23741969472277
