Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,A1,P2,A1,29.999999999999872
P1,A1,P2,B1,29.999999999999872
P1,A1,P2,C1,29.999999999999872
P1,A1,P2,A6,29.9999999999999
P1,A1,P2,B6,29.9999999999999
P1,A1,P2,C6,29.9999999999999
P1,A1,P2,A7,29.999999999999872
P1,A1,P2,B7,29.999999999999872
P1,A1,P2,C7,29.999999999999872
P1,A1,P2,D8,29.999999999999602
P1,A1,P2,E8,29.999999999999602
P1,A1,P2,F8,29.999999999999602
P1,B1,P2,A1,15.0
P1,B1,P2,B1,15.0
P1,B1,P2,C1,15.0
P1,B1,P2,D1,15.0
P1,B1,P2,E1,15.0
P1,B1,P2,F1,15.0
P1,B1,P2,A2,15.0
P1,B1,P2,B2,15.0
P1,B1,P2,C2,15.0
P1,B1,P2,D2,15.0
P1,B1,P2,E2,15.0
P1,B1,P2,F2,15.0
P1,B1,P2,A3,15.0
P1,B1,P2,B3,15.0
P1,B1,P2,C3,15.0
P1,B1,P2,D3,15.0
P1,B1,P2,E3,15.0
P1,B1,P2,F3,15.0
P1,B1,P2,A4,15.0
P1,B1,P2,B4,15.0
P1,B1,P2,C4,15.0
P1,B1,P2,D4,15.0
P1,B1,P2,E4,15.0
P1,B1,P2,F4,15.0
P1,B1,P2,A5,15.0
P1,B1,P2,B5,15.0
P1,B1,P2,C5,15.0
P1,B1,P2,D5,15.0
P1,B1,P2,E5,15.0
P1,B1,P2,F5,15.0
P1,B1,P2,A6,15.0
P1,B1,P2,B6,15.0
P1,B1,P2,C6,15.0
P1,B1,P2,D6,15.0
P1,B1,P2,E6,15.0
P1,B1,P2,F6,15.0
P1,B1,P2,A7,15.0
P1,B1,P2,B7,15.0
P1,B1,P2,C7,15.0
P1,B1,P2,D7,15.0
P1,B1,P2,E7,15.0
P1,B1,P2,F7,15.0
P1,B1,P2,A8,15.0
P1,B1,P2,B8,15.0
P1,B1,P2,C8,15.0
P1,B1,P2,D8,15.0
P1,B1,P2,E8,15.0
P1,B1,P2,F8,15.0
P1,C1,P2,A1,15.8929449201905
P1,C1,P2,B1,15.8929449201905
P1,C1,P2,C1,15.8929449201905
P1,C1,P2,D1,5.392658562554438
P1,C1,P2,E1,5.392658562554438
P1,C1,P2,F1,5.392658562554438
P1,C1,P2,A2,10.425062305509002
P1,C1,P2,B2,10.425062305509002
P1,C1,P2,C2,10.425062305509002
P1,C1,P2,D2,24.63797526961769
P1,C1,P2,E2,24.63797526961769
P1,C1,P2,F2,24.63797526961769
P1,C1,P2,D3,12.029251359337687
P1,C1,P2,E3,12.029251359337687
P1,C1,P2,F3,12.029251359337687
P1,C1,P2,A4,8.94625934379625
P1,C1,P2,B4,8.94625934379625
P1,C1,P2,C4,8.94625934379625
P1,C1,P2,D4,19.73102990502219
P1,C1,P2,E4,19.73102990502219
P1,C1,P2,F4,19.73102990502219
P1,C1,P2,A5,23.231290288066376
P1,C1,P2,B5,23.231290288066376
P1,C1,P2,C5,23.231290288066376
P1,C1,P2,D5,17.060262500781313
P1,C1,P2,E5,17.060262500781313
P1,C1,P2,F5,17.060262500781313
P1,C1,P2,A6,7.29195993042825
P1,C1,P2,B6,7.29195993042825
P1,C1,P2,C6,7.29195993042825
P1,C1,P2,D6,13.645713329253
P1,C1,P2,E6,13.645713329253
P1,C1,P2,F6,13.645713329253
P1,C1,P2,D7,21.387121481500753
P1,C1,P2,E7,21.387121481500753
P1,C1,P2,F7,21.387121481500753
P1,D1,P2,A1,10.0
P1,D1,P2,B1,10.0
P1,D1,P2,C1,10.0
P1,D1,P2,D1,10.0
P1,D1,P2,E1,10.0
P1,D1,P2,F1,10.0
P1,D1,P2,A2,10.0
P1,D1,P2,B2,10.0
P1,D1,P2,C2,10.0
P1,D1,P2,D2,10.0
P1,D1,P2,E2,10.0
P1,D1,P2,F2,10.0
P1,D1,P2,A3,10.0
P1,D1,P2,B3,10.0
P1,D1,P2,C3,10.0
P1,D1,P2,D3,10.0
P1,D1,P2,E3,10.0
P1,D1,P2,F3,10.0
P1,D1,P2,A4,10.0
P1,D1,P2,B4,10.0
P1,D1,P2,C4,10.0
P1,D1,P2,D4,10.0
P1,D1,P2,E4,10.0
P1,D1,P2,F4,10.0
P1,D1,P2,A5,10.0
P1,D1,P2,B5,10.0
P1,D1,P2,C5,10.0
P1,D1,P2,D5,10.0
P1,D1,P2,E5,10.0
P1,D1,P2,F5,10.0
P1,D1,P2,A6,10.0
P1,D1,P2,B6,10.0
P1,D1,P2,C6,10.0
P1,D1,P2,D6,10.0
P1,D1,P2,E6,10.0
P1,D1,P2,F6,10.0
P1,D1,P2,A7,10.0
P1,D1,P2,B7,10.0
P1,D1,P2,C7,10.0
P1,D1,P2,D7,10.0
P1,D1,P2,E7,10.0
P1,D1,P2,F7,10.0
P1,D1,P2,A8,10.0
P1,D1,P2,B8,10.0
P1,D1,P2,C8,10.0
P1,D1,P2,D8,10.0
